,team,meanRho,points,finalResults
0,RNG,0.6467421958536895,9,13
1,Team Liquid,0.608605907321522,13,3
2,EG,0.6337963397244012,14,9
3,Soniqs,0.6274783454033414,5,17
4,Hokori,0.63150972292426,9,13
5,PSG.LGD,0.6038204171108762,12,5
6,Gaimin Gladiators,0.6454778937965103,8,9
7,BetBoom Team,0.6327296413363334,5,17
8,BOOM Esports,0.6409371049480197,5,9
9,OG,0.6158281538897364,10,7
10,Thunder Awaken,0.6268757296031877,10,5
11,Team Secret,0.620278823993872,13,2
12,beastcoast,0.6137728814927935,8,7
13,Entity,0.6314738450703247,6,9
14,Fnatic,0.6385462830782488,9,13
15,Team Spirit,0.6277396775961592,9,13
16,Tundra Esports,0.6273893210988369,14,1
17,Team Aster,0.644536619850558,10,4
18,Talon,0.6433511847180025,6,17
19,TSM,0.6239634164455238,5,17
